species,reproductive.mode,Mass,Forage mode
Stenodactylus_doriae,Oviparous,73.1,mixed
Stenodactylus_petrii,Oviparous,73.1,mixed
Stenodactylus_sthenodactylus,Oviparous,55.1,mixed
Strophurus_ciliaris,Oviparous,87.2,sit and wait
Strophurus_elderi,Oviparous,53.6,sit and wait
Strophurus_strophurus,Oviparous,79.3,sit and wait
Takydromus_tachydromoides,Oviparous,68.9,widely foraging
Tarentola_angustimentalis,Oviparous,65.6,sit and wait
Tarentola_annularis,Oviparous,99.5,mixed
Tarentola_deserti,Oviparous,101.5,widely foraging
Tarentola_ephippiata,Oviparous,78,mixed
Tarentola_mauritanica,Oviparous,54.4,mixed
Tarentola_neglecta,Oviparous,57.4,widely foraging
Teira_dugesii,Oviparous,86.3,widely foraging
Teius_oculatus,Oviparous,111.6,widely foraging
Teius_teyou,Oviparous,116.2,widely foraging
Teratoscincus_scincus,Oviparous,112.8,mixed
Thecadactylus_rapicauda,Oviparous,96.8,sit and wait
Thecadactylus_solimoensis,Oviparous,116.3,sit and wait
Tiliqua_adelaidensis,Viviparous,139.5,sit and wait
Tiliqua_multifasciata,Viviparous,220.9,widely foraging
Tiliqua_occipitalis,Viviparous,325.8,widely foraging
Tiliqua_rugosa,Viviparous,443.7,widely foraging
Trachylepis_buettneri,Oviparous,65.9,widely foraging
Trachylepis_maculilabris,Oviparous,72.4,widely foraging
Trachylepis_margaritifera,Oviparous,96.6,sit and wait
Trachylepis_occidentalis,Mixed,98.2,widely foraging
Trachylepis_quinquetaeniata,Oviparous,97.6,widely foraging
Trachylepis_sparsa,Viviparous,85.3,widely foraging
Trachylepis_spilogaster,Viviparous,77.2,mixed
Trachylepis_striata,Viviparous,85.3,mixed
Trachylepis_varia,Mixed,64.3,mixed
Trachylepis_variegata,Viviparous,56.2,widely foraging
Trapelus_agnetae,Oviparous,83.8,sit and wait
Trapelus_sanguinolentus,Oviparous,102.4,mixed
Trapelus_savignii,Oviparous,92.8,sit and wait
Trioceros_jacksonii,Viviparous,72.4,mixed
Tropidophorus_grayi,Viviparous,90.8,widely foraging
Tropidurus_cocorobensis,Oviparous,61.6,sit and wait
Tropidurus_etheridgei,Oviparous,68.2,sit and wait
Tropidurus_hispidus,Oviparous,72.5,sit and wait
Tropidurus_montanus,Oviparous,75.8,sit and wait
Tropidurus_semitaeniatus,Oviparous,47.8,sit and wait
Tropidurus_spinulosus,Oviparous,84.5,sit and wait
Tropidurus_torquatus,Oviparous,67.1,sit and wait
Tupinambis_teguixin,Oviparous,275.2,widely foraging
Tympanocryptis_lineata,Oviparous,63.6,sit and wait
Uma_exsul,Oviparous,85.8,sit and wait
Uma_notata,Oviparous,96.5,sit and wait
Uma_scoparia,Oviparous,100.5,sit and wait
Underwoodisaurus_milii,Oviparous,80.1,mixed
Uracentron_azureum,Oviparous,81.8,sit and wait
Uracentron_flaviceps,Oviparous,96.7,sit and wait
Uranoscodon_superciliosus,Oviparous,95.4,sit and wait
Urosaurus_graciosus,Oviparous,61.7,sit and wait
Urosaurus_ornatus,Oviparous,51.8,sit and wait
Uta_stansburiana,Oviparous,53.7,sit and wait
Vanzosaura_rubricauda,Oviparous,48.3,widely foraging
Varanus_acanthurus,Oviparous,198.2,sit and wait
Varanus_albigularis,Oviparous,375.5,widely foraging
Varanus_bengalensis,Oviparous,276.1,widely foraging
Varanus_brevicaudus,Oviparous,133.2,mixed
Varanus_caudolineatus,Oviparous,150,widely foraging
Varanus_eremius,Oviparous,191.7,widely foraging
Varanus_exanthematicus,Oviparous,252.9,widely foraging
Varanus_flavescens,Oviparous,223.7,widely foraging
Varanus_giganteus,Oviparous,480.6,widely foraging
Varanus_gilleni,Oviparous,191.7,widely foraging
Varanus_glauerti,Oviparous,202.7,widely foraging
Varanus_glebopalma,Oviparous,273.9,sit and wait
Varanus_gouldii,Oviparous,275.2,widely foraging
Varanus_griseus,Oviparous,323.4,widely foraging
Varanus_kingorum,Oviparous,154.8,sit and wait
Varanus_komodoensis,Oviparous,559.2,mixed
Varanus_mertensi,Oviparous,323.1,widely foraging
Varanus_mitchelli,Oviparous,214.7,sit and wait
Varanus_niloticus,Oviparous,407.2,widely foraging
Varanus_panoptes,Oviparous,352.2,widely foraging
Varanus_pilbarensis,Oviparous,173.6,widely foraging
Varanus_rosenbergi,Oviparous,353.8,widely foraging
Varanus_salvadorii,Oviparous,366.7,sit and wait
Varanus_salvator,Oviparous,397.5,widely foraging
Varanus_scalaris,Oviparous,198.5,mixed
Varanus_similis,Oviparous,179.1,sit and wait
Varanus_spenceri,Oviparous,395.8,widely foraging
Varanus_storri,Oviparous,160,sit and wait
Varanus_tristis,Oviparous,219.5,mixed
Varanus_varius,Oviparous,334.4,widely foraging
Varzea_bistriata,Viviparous,110.5,widely foraging
Vhembelacerta_rupicola,Oviparous,54.8,widely foraging
Xantusia_henshawi,Viviparous,85.1,sit and wait
Xantusia_riversiana,Viviparous,92.7,sit and wait
Xantusia_vigilis,Viviparous,62.3,sit and wait
Xenosaurus_grandis,Viviparous,154.9,sit and wait
Xenosaurus_newmanorum,Viviparous,172.7,sit and wait
Xenosaurus_phalaroanthereon,Viviparous,189.9,sit and wait
Xenosaurus_platyceps,Viviparous,172.7,sit and wait
Xenosaurus_rectocollaris,Viviparous,158.4,sit and wait
Zootoca_vivipara,Mixed,50.1,sit and wait
Sphenodon_punctatus,Oviparaous,0,sit and wait
