species,reproductive.mode,Mass,Forage mode
Carlia_rostralis,Oviparous,76.2,widely foraging
Carlia_rubrigularis,Oviparous,67.9,widely foraging
Carlia_storri,Oviparous,60.4,widely foraging
Cercosaura_eigenmanni,Oviparous,58.9,widely foraging
Cercosaura_ocellata,Oviparous,64.2,widely foraging
Cercosaura_oshaughnessyi,Oviparous,62.5,widely foraging
Cercosaura_schreibersii,Oviparous,44.4,widely foraging
Chalcides_ocellatus,Viviparous,114.3,mixed
Chamaeleo_chamaeleon,Oviparous,68.9,sit and wait
Chamaeleo_dilepis,Oviparous,80.4,sit and wait
Chamaeleo_namaquensis,Oviparous,70.5,widely foraging
Chatogekko_amazonicus,Oviparous,32,sit and wait
Chlamydosaurus_kingii,Oviparous,147.5,sit and wait
Chondrodactylus_angulifer,Oviparous,100.7,sit and wait
Chondrodactylus_bibronii,Oviparous,73.1,sit and wait
Cnemidophorus_cryptus,Oviparous,93.2,widely foraging
Cnemidophorus_gramivagus,Oviparous,96.3,widely foraging
Cnemidophorus_lemniscatus,Oviparous,74.6,widely foraging
Coleodactylus_meridionalis,Oviparous,31.7,mixed
Coleodactylus_septentrionalis,Oviparous,34.6,sit and wait
Coleonyx_brevis,Oviparous,71.3,widely foraging
Coleonyx_variegatus,Oviparous,84.3,mixed
Colobosaura_modesta,Oviparous,67.5,widely foraging
Colopus_wahlbergii,Oviparous,64.8,sit and wait
Concinnia_queenslandiae,Viviparous,99.8,sit and wait
Contomastix_lacertoides,Oviparous,77.7,widely foraging
Copeoglossum_arajara,Viviparous,107.9,mixed
Copeoglossum_nigropunctatum,Viviparous,110.2,widely foraging
Cophosaurus_texanus,Oviparous,59.1,sit and wait
Cordylus_cordylus,Viviparous,119.9,sit and wait
Corytophanes_cristatus,Oviparous,92.3,sit and wait
Corytophanes_hernandesii,Oviparous,116.6,sit and wait
Crocodilurus_amazonicus,Oviparous,223.8,widely foraging
Crotaphytus_bicinctores,Oviparous,55,widely foraging
Crotaphytus_collaris,Oviparous,58.1,sit and wait
Crotaphytus_reticulatus,Oviparous,54.2,mixed
Cryptoblepharus_buchananii,Oviparous,65.9,widely foraging
Cryptoblepharus_plagiocephalus,Oviparous,46.5,widely foraging
Cryptoblepharus_poecilopleurus,Oviparous,60.4,widely foraging
Cryptoblepharus_virgatus,Oviparous,53,widely foraging
Ctenophorus_caudicinctus,Oviparous,65.2,sit and wait
Ctenophorus_clayi,Oviparous,72.9,sit and wait
Ctenophorus_cristatus,Oviparous,99.3,sit and wait
Ctenophorus_fordi,Oviparous,71.4,sit and wait
Ctenophorus_isolepis,Oviparous,74.5,sit and wait
Ctenophorus_nuchalis,Oviparous,100.9,sit and wait
Ctenophorus_ornatus,Oviparous,104,sit and wait
Ctenophorus_reticulatus,Oviparous,66.7,sit and wait
Ctenophorus_scutulatus,Oviparous,85.4,sit and wait
Ctenosaura_similis,Oviparous,154.7,sit and wait
Ctenotus_ariadnae,Oviparous,88.5,widely foraging
Ctenotus_atlas,Oviparous,95,widely foraging
Ctenotus_brooksi,Oviparous,62.7,widely foraging
Ctenotus_calurus,Oviparous,75.6,widely foraging
Ctenotus_dux,Oviparous,88.5,widely foraging
Ctenotus_grandis,Oviparous,101.4,widely foraging
Ctenotus_leonhardii,Oviparous,88.5,widely foraging
Ctenotus_nasutus,Oviparous,67.5,widely foraging
Ctenotus_pantherinus,Oviparous,98.2,widely foraging
Ctenotus_piankai,Oviparous,78.8,widely foraging
Ctenotus_quattuordecimlineatus,Oviparous,90.1,widely foraging
Ctenotus_regius,Oviparous,88.5,widely foraging
Ctenotus_robustus,Oviparous,111.1,widely foraging
Ctenotus_schomburgkii,Oviparous,64.3,widely foraging
Ctenotus_taeniolatus,Oviparous,91.7,mixed
Cyclodomorphus_casuarinae,Viviparous,134.7,mixed
Cyclodomorphus_melanops,Viviparous,128.2,widely foraging
Cyclura_carinata,Oviparous,232.9,sit and wait
Cyrtodactylus_consobrinus,Oviparous,81.3,sit and wait
Cyrtodactylus_fumosus,Oviparous,73.1,widely foraging
Cyrtodactylus_louisiadensis,Oviparous,172.5,widely foraging
Cyrtodactylus_seribuatensis,Oviparous,68.9,widely foraging
Cyrtopodion_scabrum,Oviparous,59.3,mixed
Darevskia_pontica,Oviparous,64.5,widely foraging
Dasia_olivacea,Oviparous,107.9,widely foraging
Delma_butleri,Oviparous,47.3,widely foraging
Diplodactylus_conspicillatus,Oviparous,73.1,sit and wait
Diplodactylus_pulcher,Oviparous,76.2,sit and wait
Diplodactylus_tessellatus,Oviparous,65.5,sit and wait
Diporiphora_amphiboluroides,Oviparous,113.3,sit and wait
Diporiphora_paraconvergens,Oviparous,93.1,sit and wait
Diporiphora_winneckei,Oviparous,60.5,sit and wait
Dipsosaurus_dorsalis,Oviparous,130.9,sit and wait
Draco_quinquefasciatus,Oviparous,89.7,sit and wait
Draco_spilopterus,Oviparous,85.4,sit and wait
Draco_volans,Oviparous,77.6,sit and wait
Dryadosaura_nordestina,Oviparous,55.9,widely foraging
Egernia_depressa,Viviparous,175.7,widely foraging
Egernia_striolata,Viviparous,157.9,sit and wait
Elgaria_coerulea,Viviparous,100.4,sit and wait
Elgaria_kingii,Oviparous,109.1,widely foraging
Elgaria_multicarinata,Oviparous,102.1,mixed
Elgaria_paucicarinata,Oviparous,133.4,widely foraging
Emoia_atrocostata,Oviparous,90.1,widely foraging
Emoia_cyanura,Oviparous,64.3,widely foraging
Emoia_lawesi,Oviparous,99.8,widely foraging
Emoia_nigra,Oviparous,107.9,widely foraging
Emoia_samoensis,Oviparous,95,widely foraging
Enyalioides_cofanorum,Oviparous,176.6,sit and wait
Enyalioides_laticeps,Oviparous,134.4,sit and wait
Enyalius_iheringii,Oviparous,87.9,sit and wait
Enyalius_perditus,Oviparous,94.7,mixed
Eremias_arguta,Oviparous,84,widely foraging
Eremias_intermedia,Oviparous,78.1,widely foraging
Eremias_multiocellata,Viviparous,72.8,widely foraging
Eremiascincus_fasciolatus,Oviparous,104.7,sit and wait
Eremiascincus_richardsonii,Oviparous,99.8,widely foraging
Eublepharis_macularius,Oviparous,159.2,sit and wait
Eulamprus_quoyii,Viviparous,119.5,widely foraging
Eulamprus_tympanum,Viviparous,109.5,widely foraging
Eutropis_carinata,Oviparous,85.9,widely foraging
Eutropis_indeprensa,Oviparous,71.1,widely foraging
Eutropis_longicaudata,Oviparous,128.2,widely foraging
Eutropis_macularia,Oviparous,67.5,widely foraging
Eutropis_multicarinata,Oviparous,90.1,widely foraging
Eutropis_multifasciata,Viviparous,117.6,widely foraging
Gallotia_atlantica,Oviparous,84.3,sit and wait
Gallotia_caesaris,Oviparous,93.4,widely foraging
Gambelia_sila,Oviparous,69.1,mixed
Gambelia_wislizenii,Oviparous,67.5,sit and wait
Gehyra_insulensis,Oviparous,52.4,sit and wait
Gehyra_mutilata,Oviparous,52.4,sit and wait
Gehyra_oceanica,Oviparous,81.3,sit and wait
Gehyra_variegata,Oviparous,59.3,mixed
Gekko_gecko,Oviparous,120,mixed
Gekko_vittatus,Oviparous,97.9,widely foraging
Gerrhonotus_infernalis,Oviparous,121.3,widely foraging
Gerrhosaurus_flavigularis,Oviparous,139.6,widely foraging
Gonatodes_albogularis,Oviparous,49.8,sit and wait
Gonatodes_concinnatus,Oviparous,50.4,sit and wait
Gonatodes_hasemani,Oviparous,59.9,sit and wait
Gonatodes_humeralis,Oviparous,45.9,sit and wait
Gonatodes_vittatus,Oviparous,41.5,sit and wait
Goniurosaurus_araneus,Oviparous,149.4,widely foraging
Goniurosaurus_kuroiwae,Oviparous,105.5,widely foraging
Gowidon_longirostris,Oviparous,83.8,sit and wait
Gowidon_temporalis,Oviparous,110.2,sit and wait
Gymnodactylus_amarali,Oviparous,54.4,sit and wait
Gymnodactylus_geckoides,Oviparous,55.3,mixed
Gymnophthalmus_speciosus,Oviparous,52.6,widely foraging
Gymnophthalmus_underwoodi,Oviparous,52.6,widely foraging
Heliobolus_lugubris,Oviparous,56,widely foraging
Hellenolacerta_graeca,Oviparous,79.6,sit and wait
Heloderma_horridum,Oviparous,375.5,widely foraging
Heloderma_suspectum,Oviparous,424.2,widely foraging
Hemicordylus_capensis,Viviparous,154.7,sit and wait
Hemidactylus_brasilianus,Oviparous,54.8,sit and wait
Hemidactylus_brookii,Oviparous,59,sit and wait
Hemidactylus_flaviviridis,Oviparous,66.2,widely foraging
Hemidactylus_frenatus,Oviparous,53.7,mixed
Hemidactylus_garnotii,Oviparous,60.6,sit and wait
Hemidactylus_hunae,Oviparous,81.3,widely foraging
Hemidactylus_mabouia,Oviparous,57.9,sit and wait
Hemidactylus_platyurus,Oviparous,56.5,sit and wait
Hemidactylus_turcicus,Oviparous,60.6,mixed
Hemiphyllodactylus_typus,Oviparous,43.2,widely foraging
Heremites_vittatus,Viviparous,78.8,sit and wait
Hesperoedura_reticulata,Oviparous,74.7,sit and wait
Heteronotia_binoei,Oviparous,49.6,mixed
Holbrookia_maculata,Oviparous,52.4,sit and wait
Holbrookia_propinqua,Oviparous,67.1,sit and wait
Holcosus_festivus,Oviparous,110.3,widely foraging
Holcosus_quadrilineatus,Oviparous,91.7,widely foraging
Holcosus_undulatus,Oviparous,103.2,widely foraging
Homonota_darwinii,Oviparous,57.7,sit and wait
Homopholis_walbergii,Oviparous,57.9,sit and wait
Iberolacerta_aranica,Oviparous,70.4,widely foraging
Iberolacerta_bonnali,Oviparous,67.5,widely foraging
Iberolacerta_cyreni,Oviparous,73.7,widely foraging
Iberolacerta_horvathi,Oviparous,68.6,widely foraging
Iberolacerta_monticola,Oviparous,66.6,widely foraging
Ichnotropis_capensis,Oviparous,54.5,widely foraging
Intellagama_lesueurii,Oviparous,141.2,widely foraging
Iphisa_elegans,Oviparous,84,widely foraging
Japalura_swinhonis,Oviparous,60.5,sit and wait
Kentropyx_altamazonica,Oviparous,94.5,widely foraging
Kentropyx_calcarata,Oviparous,99.4,widely foraging
Kentropyx_pelviceps,Oviparous,111.9,widely foraging
Kentropyx_striata,Oviparous,90.1,widely foraging
Lacerta_agilis,Oviparous,75.1,widely foraging
Lacerta_media,Oviparous,89.9,widely foraging
Lacerta_trilineata,Oviparous,119.4,widely foraging
Lacerta_viridis,Oviparous,91.4,widely foraging
Lamprolepis_smaragdina,Oviparous,111.1,widely foraging
Lampropholis_coggeri,Oviparous,49.8,widely foraging
Lampropholis_delicata,Oviparous,51.7,mixed
Lampropholis_guichenoti,Oviparous,56.2,widely foraging
Lankascincus_fallax,Oviparous,54,widely foraging
Latastia_longicaudata,Oviparous,91.4,mixed
Laudakia_tuberculata,Oviparous,90,mixed
Leiocephalus_carinatus,Oviparous,105.2,sit and wait
Leiocephalus_psammodromus,Oviparous,100.4,sit and wait
Leiocephalus_schreibersii,Oviparous,90.6,sit and wait
Leiocephalus_semilineatus,Oviparous,76,sit and wait
Leiocephalus_stictigaster,Oviparous,68.9,sit and wait
Lepidoblepharis_xanthostigma,Oviparous,34.1,sit and wait
Lepidodactylus_lugubris,Oviparous,44.1,sit and wait
Lerista_bipes,Oviparous,74,widely foraging
Lerista_punctatovittata,Oviparous,120.8,widely foraging
Lialis_burtonis,Oviparous,94.6,mixed
Liolaemus_andinus,Viviparous,82,sit and wait
Liolaemus_bibronii,Oviparous,78.9,sit and wait
Liolaemus_chacoensis,Oviparous,48,sit and wait
Liolaemus_cyanogaster,Viviparous,71.2,sit and wait
Liolaemus_elongatus,Viviparous,83.9,sit and wait
Liolaemus_gracilis,Oviparous,68.4,sit and wait
Liolaemus_huacahuasicus,unclear,75.8,sit and wait
Liolaemus_koslowskyi,Oviparous,63.5,sit and wait
Liolaemus_lutzae,Oviparous,82.3,sit and wait
Liolaemus_multimaculatus,Oviparous,81.7,sit and wait
Liolaemus_pictus,Viviparous,80.5,sit and wait
Liolaemus_ruibali,Viviparous,54.2,sit and wait
Liolaemus_wiegmannii,Oviparous,57.3,sit and wait
Liopholis_inornata,Viviparous,103,mixed
Liopholis_striata,Viviparous,127.3,mixed
Liopholis_whitii,Viviparous,119.2,widely foraging
Lipinia_noctua,Viviparous,59.8,widely foraging
Lipinia_pulchella,Oviparous,63,widely foraging
Lipinia_vittigera,Oviparous,73.7,widely foraging
Lophognathus_gilberti,Oviparous,82.3,sit and wait
